company_name,current_status,b_corp_profile,website,assessment_year,overall_score
KarÅn,certified,bcorporation.net/directory/karÅn,www.karunworld.com,2015,89.7
KarÅn,certified,bcorporation.net/directory/karÅn,www.karunworld.com,2013,81.2
Soleventus,certified,bcorporation.net/directory/soleventus,www.soleventus.com,2016,93.2
Grupo Advance,certified,bcorporation.net/directory/grupo-advance,grupoadvance.com.ar,2017,95.6
Prokanga,certified,bcorporation.net/directory/prokanga,www.prokanga.com,2019,85.3
Global Gaming Initiative,certified,bcorporation.net/directory/global-gaming-initiative,www.globalgaminginitiative.com,2017,106.6
Global Gaming Initiative,certified,bcorporation.net/directory/global-gaming-initiative,www.globalgaminginitiative.com,2015,103.5
Ad Victoriam Solutions,certified,bcorporation.net/directory/ad-victoriam-solutions,www.advictoriamsolutions.com,2017,85.8
Beyond Green Sustainable Food Partners,certified,bcorporation.net/directory/beyond-green-sustainable-food-partners,beyondgreenpartners.com,2016,80.3
Beyond Green Sustainable Food Partners,certified,bcorporation.net/directory/beyond-green-sustainable-food-partners,beyondgreenpartners.com,2014,93.3
Beyond Green Sustainable Food Partners,certified,bcorporation.net/directory/beyond-green-sustainable-food-partners,beyondgreenpartners.com,2012,96.3
Avocado Green Mattress,certified,bcorporation.net/directory/avocado-green-mattress,www.avocadogreenmattress.com,2019,126.2
NETO,certified,bcorporation.net/directory/yo-elijo,www.yoelijokids.com,2016,88.6
Greenvines,certified,bcorporation.net/directory/greenvines,www.greenvines.com.tw,2017,117.6
Greenvines,certified,bcorporation.net/directory/greenvines,www.greenvines.com.tw,2015,99.7
"Mightybytes, Inc.",certified,bcorporation.net/directory/mightybytes-inc,mightybytes.com,2017,101.7
"Mightybytes, Inc.",certified,bcorporation.net/directory/mightybytes-inc,mightybytes.com,2015,83.6
"Mightybytes, Inc.",certified,bcorporation.net/directory/mightybytes-inc,mightybytes.com,2012,98.1
ekodev,certified,bcorporation.net/directory/ekodev,www.ekodev.com,2017,115.7
ekodev,certified,bcorporation.net/directory/ekodev,www.ekodev.com,2015,95.7
State of Sahaja: Yoga Mats & Yoga Studio That Gives Back,certified,bcorporation.net/directory/state-of-sahaja-yoga-mats-yoga-studio-that-gives-back,www.sahajayogamats.com,2018,98.4
Springload,certified,bcorporation.net/directory/springload,www.springload.co.nz,2019,84.5
Public Sector Network,certified,bcorporation.net/directory/public-sector-network,publicsectornetwork.co,2018,82.1
Recruit for Good,certified,bcorporation.net/directory/innovate360,www.recruitforgood.com.au,2018,105.1
Project Everest Ventures,certified,bcorporation.net/directory/project-everest-ventures,www.projecteverest.ventures,2018,83.9
Pablo & Rustys Pty Ltd,certified,bcorporation.net/directory/pablo-rustys-pty-ltd,pabloandrustys.com.au,2017,80.9
Osana,certified,bcorporation.net/directory/osana,www.osana.care,2019,80.3
Method Recycling,certified,bcorporation.net/directory/method-recycling,www.methodrecycling.com,2019,93.4
Kosloff Architecture,certified,bcorporation.net/directory/kosloff-architecture,kosloffarchitecture.com,2018,93
Kilmarnock Enterprises,certified,bcorporation.net/directory/kilmarnock-enterprises,www.kilmarnock.co.nz,2019,90.4
Kathmandu,certified,bcorporation.net/directory/kathmandu,www.kathmandu.co.nz,2017,82.2
Karst Stone Paper_,certified,bcorporation.net/directory/karst-stone-paper,karststonepaper.com,2019,83.6
GOGO events Pty Ltd,certified,bcorporation.net/directory/gogo-events-pty-ltd,www.gogoevents.com.au,2017,87.3
First Ray,certified,bcorporation.net/directory/first-ray,www.firstray.com.au,2019,83.3
Compass Creative Studio Pty Ltd,certified,bcorporation.net/directory/compass-creative-studio-pty-ltd,www.compasscreative.com.au,2019,87.3
Dignity,certified,bcorporation.net/directory/dignity,dignitynz.com,2019,85.6
Clean Technology Partners,certified,bcorporation.net/directory/clean-technology-partners,www.clean-tech.com.au/about-us,2019,85.1
Australian Brands Alliance,certified,bcorporation.net/directory/australian-brands-alliance,www.abalabels.com.au,2019,83.3
