Sufferfest Beer Company,certified,Food & Beverage,bcorporation.net/directory/sufferfest-beer-company,sufferfestbeer.com,2016,83.4,40.3,15.4,6.6,21.1
Portafolio Verde,certified,Sustainability Consulting,bcorporation.net/directory/portafolio-verde,www.portafolioverde.com,2017,157.0,34.5,13.9,20.0,34.8
Portafolio Verde,certified,Sustainability Consulting,bcorporation.net/directory/portafolio-verde,www.portafolioverde.com,2015,150.7,37.2,14.8,19.9,34.2
Portafolio Verde,certified,Sustainability Consulting,bcorporation.net/directory/portafolio-verde,www.portafolioverde.com,2012,86.3,18.3,28.2,11.6,28.1
Beachgold,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/beachgold,www.beachgoldbali.com,2019,83.7,40.7,10.7,6.7,22.6
DANONE AQUA Indonesia,certified,Food & Beverage,bcorporation.net/directory/danone-aqua-indonesia,www.aqua.com,2017,85.9,26.2,26.3,10.8,22.6
Mycotech,certified,Machinery & Equipment,bcorporation.net/directory/mycotech,www.mycote.ch,2019,80.6,15.9,37.1,6.6,19.5
"Giving Assistant, Inc.",certified,Consumer Rewards,bcorporation.net/directory/giving-assistant-inc,www.givingassistant.org,2017,84.3,21.9,7.1,16.0,24.3
Maria Farinha Filmes,certified,Fine Arts,bcorporation.net/directory/maria-farinha-filmes,www.mff.com.br,2016,98.2,30.0,7.2,13.4,25.1
Maria Farinha Filmes,certified,Fine Arts,bcorporation.net/directory/maria-farinha-filmes,www.mff.com.br,2013,99.1,21.5,5.3,6.2,36.1
Snaplinc Consulting LLC,certified,Management and Financial Consulting,bcorporation.net/directory/snaplinc-consulting-llc,snaplincconsulting.com,2019,81.9,25.4,9.2,10.7,
"Jason Wiener, P.C.",certified,Legal,bcorporation.net/directory/jason-wiener-pc,www.jrwiener.com,2017,87.2,33.0,13.4,19.5,
"Jason Wiener, P.C.",certified,Legal,bcorporation.net/directory/jason-wiener-pc,www.jrwiener.com,2015,89.3,26.4,10.7,17.2,0.0
Cascade Engineering,certified,Industrial Manufacturing,bcorporation.net/directory/cascade-engineering,cascadeng.com,2016,140.7,51.6,52.9,10.4,24.0
Cascade Engineering,certified,Industrial Manufacturing,bcorporation.net/directory/cascade-engineering,cascadeng.com,2015,89.1,29.2,23.1,8.6,24.6
Cascade Engineering,certified,Industrial Manufacturing,bcorporation.net/directory/cascade-engineering,cascadeng.com,2012,88.0,15.8,29.9,14.7,26.0
Constructora L y D,certified,Contractors & Builders,bcorporation.net/directory/constructora-l-y-d,www.ldconstructora.cl,2017,91.0,46.7,15.2,12.2,16.9
Constructora L y D,certified,Contractors & Builders,bcorporation.net/directory/constructora-l-y-d,www.ldconstructora.cl,2014,81.5,40.2,16.0,6.4,18.8
Cotopaxi,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/cotopaxi,www.cotopaxi.com,2018,93.6,48.0,7.8,18.3,19.3
Cotopaxi,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/cotopaxi,www.cotopaxi.com,2015,91.5,38.1,8.1,18.0,22.9
AMATA,certified,Forest Management,bcorporation.net/directory/amata,www.amatabrasil.com.br,2016,90.5,10.7,50.9,10.4,18.5
Quiip,certified,Marketing & Communications Services,bcorporation.net/directory/quiip,www.quiip.com.au,2017,82.3,22.5,11.4,7.7,29.7
Ecotone Analytics GBC,certified,Other,bcorporation.net/directory/ecotone-analytics-gbc,www.ecotone-partners.com,2017,84.5,23.6,30.1,14.8,
eCycle,certified,Online Community,bcorporation.net/directory/ecycle,www.ecycle.com.br,2016,83.9,12.9,27.1,15.7,28.2
Chilote Shoes,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/chiloteshoes,www.chiloteshoes.com,2016,84.2,55.5,7.5,13.3,
Ovis 21,certified,Research & Design,bcorporation.net/directory/ovis-21,www.ovis21.com,2016,87.5,12.9,33.9,18.0,22.7
Ovis 21,certified,Research & Design,bcorporation.net/directory/ovis-21,www.ovis21.com,2012,86.2,17.5,28.5,10.0,30.0
Donadora,certified,Other,bcorporation.net/directory/donadora,www.donadora.org,2016,85.7,24.4,8.2,12.4,26.6
KAWSAY,certified,Other,bcorporation.net/directory/kawsay,www.kawsay.cl,2016,81.8,53.7,13.8,7.7,
Liatin SA (Impulso Creativo),certified,IT Software & Services/Web Design,bcorporation.net/directory/liatin-sa-impulso-creativo,www.masbus.uy,2015,81.3,23.9,8.6,12.9,30.0
Alfa Accountants en Adviseurs,certified,Accounting Services,bcorporation.net/directory/alfa-accountants-en-adviseurs,www.alfa.nl,2016,101.9,21.2,9.3,12.4,57.1
Alfa Accountants en Adviseurs,certified,Accounting Services,bcorporation.net/directory/alfa-accountants-en-adviseurs,www.alfa.nl,2014,98.1,23.3,4.5,11.1,59.2
